CDT CODE,, Usual Fees ,,,,,,,,,,,DentalSave Fees,,,,,,,,,,
,,DS 0.80,DS 0.85,DS 0.90,DS 0.95,DS 1.00,DS 1.05,DS 1.10,DS 1.15,DS 1.20,DS 1.25,DS 1.30,DS 0.80,DS 0.85,DS 0.90,DS 0.95,DS 1.00,DS 1.05,DS 1.10,DS 1.15,DS 1.20,DS 1.25,DS 1.30
D5520,replace missing or broken teeth - complete denture (each tooth), $155.20 , $164.90 , $174.60 , $184.30 , $194.00 , $203.70 , $213.40 , $223.10 , $232.80 , $242.50 , $252.20 , $85.50 , $90.50 , $96.00 , $101.50 , $106.50 , $112.00 , $117.50 , $122.50 , $128.00 , $133.50 , $138.50 
D5610,repair resin denture base, $168.00 , $178.50 , $189.00 , $199.50 , $210.00 , $220.50 , $231.00 , $241.50 , $252.00 , $262.50 , $273.00 , $92.50 , $98.00 , $104.00 , $109.50 , $115.50 , $121.50 , $127.00 , $133.00 , $138.50 , $144.50 , $150.00 
D5620,repair cast framework, $235.20 , $249.90 , $264.60 , $279.30 , $294.00 , $308.70 , $323.40 , $338.10 , $352.80 , $367.50 , $382.20 , $129.50 , $137.50 , $145.50 , $153.50 , $161.50 , $170.00 , $178.00 , $186.00 , $194.00 , $202.00 , $210.00 
D5630,repair or replace broken clasp - per tooth, $218.40 , $232.05 , $245.70 , $259.35 , $273.00 , $286.65 , $300.30 , $313.95 , $327.60 , $341.25 , $354.90 , $120.00 , $127.50 , $135.00 , $142.50 , $150.00 , $157.50 , $165.00 , $172.50 , $180.00 , $187.50 , $195.00 
D5640,replace broken teeth - per tooth, $156.80 , $166.60 , $176.40 , $186.20 , $196.00 , $205.80 , $215.60 , $225.40 , $235.20 , $245.00 , $254.80 , $86.00 , $91.50 , $97.00 , $102.50 , $108.00 , $113.00 , $118.50 , $124.00 , $129.50 , $135.00 , $140.00 
D5650,add tooth to existing partial denture, $184.00 , $195.50 , $207.00 , $218.50 , $230.00 , $241.50 , $253.00 , $264.50 , $276.00 , $287.50 , $299.00 , $101.00 , $107.50 , $114.00 , $120.00 , $126.50 , $133.00 , $139.00 , $145.50 , $152.00 , $158.00 , $164.50 
D5660,add clasp to existing partial denture - per tooth, $216.00 , $229.50 , $243.00 , $256.50 , $270.00 , $283.50 , $297.00 , $310.50 , $324.00 , $337.50 , $351.00 , $119.00 , $126.00 , $133.50 , $141.00 , $148.50 , $156.00 , $163.50 , $171.00 , $178.00 , $185.50 , $193.00 
D5730,reline complete maxillary denture (chairside), $305.60 , $324.70 , $343.80 , $362.90 , $382.00 , $401.10 , $420.20 , $439.30 , $458.40 , $477.50 , $496.60 , $168.00 , $178.50 , $189.00 , $199.50 , $210.00 , $220.50 , $231.00 , $241.50 , $252.00 , $262.50 , $273.00 
D5731,reline complete mandibular denture (chairside), $303.20 , $322.15 , $341.10 , $360.05 , $379.00 , $397.95 , $416.90 , $435.85 , $454.80 , $473.75 , $492.70 , $167.00 , $177.00 , $187.50 , $198.00 , $208.50 , $219.00 , $229.50 , $239.50 , $250.00 , $260.50 , $271.00 
D5740,reline maxillary partial denture (chairside), $294.40 , $312.80 , $331.20 , $349.60 , $368.00 , $386.40 , $404.80 , $423.20 , $441.60 , $460.00 , $478.40 , $162.00 , $172.00 , $182.00 , $192.50 , $202.50 , $212.50 , $222.50 , $233.00 , $243.00 , $253.00 , $263.00 
D5741,reline mandibular partial denture (chairside), $298.40 , $317.05 , $335.70 , $354.35 , $373.00 , $391.65 , $410.30 , $428.95 , $447.60 , $466.25 , $484.90 , $164.00 , $174.50 , $184.50 , $195.00 , $205.00 , $215.50 , $225.50 , $236.00 , $246.00 , $256.50 , $266.50 
D5750,reline complete maxillary denture (laboratory), $380.80 , $404.60 , $428.40 , $452.20 , $476.00 , $499.80 , $523.60 , $547.40 , $571.20 , $595.00 , $618.80 , $209.50 , $222.50 , $235.50 , $248.50 , $262.00 , $275.00 , $288.00 , $301.00 , $314.00 , $327.50 , $340.50 
D5751,reline complete mandibular denture (laboratory), $388.00 , $412.25 , $436.50 , $460.75 , $485.00 , $509.25 , $533.50 , $557.75 , $582.00 , $606.25 , $630.50 , $213.50 , $226.50 , $240.00 , $253.50 , $267.00 , $280.00 , $293.50 , $307.00 , $320.00 , $333.50 , $347.00 
D5760,reline maxillary partial denture (laboratory), $384.00 , $408.00 , $432.00 , $456.00 , $480.00 , $504.00 , $528.00 , $552.00 , $576.00 , $600.00 , $624.00 , $211.00 , $224.50 , $237.50 , $251.00 , $264.00 , $277.00 , $290.50 , $303.50 , $317.00 , $330.00 , $343.00 
D5761,reline mandibular partial denture (laboratory), $384.00 , $408.00 , $432.00 , $456.00 , $480.00 , $504.00 , $528.00 , $552.00 , $576.00 , $600.00 , $624.00 , $211.00 , $224.50 , $237.50 , $251.00 , $264.00 , $277.00 , $290.50 , $303.50 , $317.00 , $330.00 , $343.00 
Implant Services,,,,,,,,,,,,,,,,,,,,,,,
D6000 D6199,implant services,,,,,,,,,,,, 25% off , 25% off , 25% off , 25% off , 25% off , 25% off , 25% off , 25% off , 25% off , 25% off , 25% off 
Prosthodontics - Fixed,,,,,,,,,,,,,,,,,,,,,,,
D6240,pontic - porcelain fused to high noble metal , $924.00 , $981.75 ," $1,039.50 "," $1,097.25 "," $1,155.00 "," $1,212.75 "," $1,270.50 "," $1,328.25 "," $1,386.00 "," $1,443.75 "," $1,501.50 ", $508.00 , $540.00 , $571.50 , $603.50 , $635.50 , $667.00 , $699.00 , $730.50 , $762.50 , $794.00 , $826.00 
D6241,pontic - porcelain fused to predominantly base metal , $846.40 , $899.30 , $952.20 ," $1,005.10 "," $1,058.00 "," $1,110.90 "," $1,163.80 "," $1,216.70 "," $1,269.60 "," $1,322.50 "," $1,375.40 ", $465.50 , $494.50 , $523.50 , $553.00 , $582.00 , $611.00 , $640.00 , $669.00 , $698.50 , $727.50 , $756.50 
D6242,pontic - porcelain fused to noble metal , $880.80 , $935.85 , $990.90 ," $1,045.95 "," $1,101.00 "," $1,156.05 "," $1,211.10 "," $1,266.15 "," $1,321.20 "," $1,376.25 "," $1,431.30 ", $484.50 , $514.50 , $545.00 , $575.50 , $605.50 , $636.00 , $666.00 , $696.50 , $726.50 , $757.00 , $787.00 
D6245,pontic - porcelain/ceramic, $921.60 , $979.20 ," $1,036.80 "," $1,094.40 "," $1,152.00 "," $1,209.60 "," $1,267.20 "," $1,324.80 "," $1,382.40 "," $1,440.00 "," $1,497.60 ", $507.00 , $538.50 , $570.00 , $602.00 , $633.50 , $665.50 , $697.00 , $728.50 , $760.50 , $792.00 , $823.50 
D6740,retainer crown - porcelain/ceramic, $926.40 , $984.30 ," $1,042.20 "," $1,100.10 "," $1,158.00 "," $1,215.90 "," $1,273.80 "," $1,331.70 "," $1,389.60 "," $1,447.50 "," $1,505.40 ", $509.50 , $541.50 , $573.00 , $605.00 , $637.00 , $668.50 , $700.50 , $732.50 , $764.50 , $796.00 , $828.00 
D6750,retainer crown - porcelain fused to high noble metal, $936.00 , $994.50 ," $1,053.00 "," $1,111.50 "," $1,170.00 "," $1,228.50 "," $1,287.00 "," $1,345.50 "," $1,404.00 "," $1,462.50 "," $1,521.00 ", $515.00 , $547.00 , $579.00 , $611.50 , $643.50 , $675.50 , $708.00 , $740.00 , $772.00 , $804.50 , $836.50 
D6751,retainer crown - porcelain fused to predominantly base metal, $852.00 , $905.25 , $958.50 ," $1,011.75 "," $1,065.00 "," $1,118.25 "," $1,171.50 "," $1,224.75 "," $1,278.00 "," $1,331.25 "," $1,384.50 ", $468.50 , $498.00 , $527.00 , $556.50 , $586.00 , $615.00 , $644.50 , $673.50 , $703.00 , $732.00 , $761.50 
D6752,retainer crown - porcelain fused to noble metal, $881.60 , $936.70 , $991.80 ," $1,046.90 "," $1,102.00 "," $1,157.10 "," $1,212.20 "," $1,267.30 "," $1,322.40 "," $1,377.50 "," $1,432.60 ", $485.00 , $515.00 , $545.50 , $576.00 , $606.00 , $636.50 , $666.50 , $697.00 , $727.50 , $757.50 , $788.00 
D6930,re-cement or re-bond fixed partial denture, $140.00 , $148.75 , $157.50 , $166.25 , $175.00 , $183.75 , $192.50 , $201.25 , $210.00 , $218.75 , $227.50 , $77.00 , $82.00 , $86.50 , $91.50 , $96.50 , $101.00 , $106.00 , $110.50 , $115.50 , $120.50 , $125.00 
Oral and Maxillofacial Surgery,,,,,,,,,,,,,,,,,,,,,,,
D7111,"extraction, coronal remnants - deciduous tooth", $110.40 , $117.30 , $124.20 , $131.10 , $138.00 , $144.90 , $151.80 , $158.70 , $165.60 , $172.50 , $179.40 , $60.50 , $64.50 , $68.50 , $72.00 , $76.00 , $79.50 , $83.50 , $87.50 , $91.00 , $95.00 , $98.50 
D7140,"extraction, erupted tooth or exposed root (elevation and/or forceps removal)", $144.80 , $153.85 , $162.90 , $171.95 , $181.00 , $190.05 , $199.10 , $208.15 , $217.20 , $226.25 , $235.30 , $79.50 , $84.50 , $89.50 , $94.50 , $99.50 , $104.50 , $109.50 , $114.50 , $119.50 , $124.50 , $129.50 
D7210,"surgical removal of erupted tooth requiring removal of bone and/or sectioning of tooth, and including elevation of mucoperiosteal flap if indicated", $228.00 , $242.25 , $256.50 , $270.75 , $285.00 , $299.25 , $313.50 , $327.75 , $342.00 , $356.25 , $370.50 , $125.50 , $133.00 , $141.00 , $149.00 , $157.00 , $164.50 , $172.50 , $180.50 , $188.00 , $196.00 , $204.00 
D7220,removal of impacted tooth - soft tissue, $259.20 , $275.40 , $291.60 , $307.80 , $324.00 , $340.20 , $356.40 , $372.60 , $388.80 , $405.00 , $421.20 , $142.50 , $151.50 , $160.50 , $169.50 , $178.00 , $187.00 , $196.00 , $205.00 , $214.00 , $223.00 , $231.50 
D7230,removal of impacted tooth - partially bony, $324.00 , $344.25 , $364.50 , $384.75 , $405.00 , $425.25 , $445.50 , $465.75 , $486.00 , $506.25 , $526.50 , $178.00 , $189.50 , $200.50 , $211.50 , $223.00 , $234.00 , $245.00 , $256.00 , $267.50 , $278.50 , $289.50 
D7240,removal of impacted tooth - completely bony, $392.00 , $416.50 , $441.00 , $465.50 , $490.00 , $514.50 , $539.00 , $563.50 , $588.00 , $612.50 , $637.00 , $215.50 , $229.00 , $242.50 , $256.00 , $269.50 , $283.00 , $296.50 , $310.00 , $323.50 , $337.00 , $350.50 
D7250,surgical removal of residual tooth roots (cutting procedure), $248.00 , $263.50 , $279.00 , $294.50 , $310.00 , $325.50 , $341.00 , $356.50 , $372.00 , $387.50 , $403.00 , $136.50 , $145.00 , $153.50 , $162.00 , $170.50 , $179.00 , $187.50 , $196.00 , $204.50 , $213.00 , $221.50 
D7510,incision and drainage of abscess - intraoral soft tissue, $198.40 , $210.80 , $223.20 , $235.60 , $248.00 , $260.40 , $272.80 , $285.20 , $297.60 , $310.00 , $322.40 , $109.00 , $116.00 , $123.00 , $129.50 , $136.50 , $143.00 , $150.00 , $157.00 , $163.50 , $170.50 , $177.50 
Orthodontic Treatment,,,,,,,,,,,,,,,,,,,,,,,
D8070,comprehensive orthodontic treatment of the transitional dentition," $4,172.80 "," $4,433.60 "," $4,694.40 "," $4,955.20 "," $5,216.00 "," $5,476.80 "," $5,737.60 "," $5,998.40 "," $6,259.20 "," $6,520.00 "," $6,780.80 ", 25% off , 25% off , 25% off , 25% off , 25% off , 25% off , 25% off , 25% off , 25% off , 25% off , 25% off 
D8080,comprehensive orthodontic treatment of the adolescent dentition," $4,174.40 "," $4,435.30 "," $4,696.20 "," $4,957.10 "," $5,218.00 "," $5,478.90 "," $5,739.80 "," $6,000.70 "," $6,261.60 "," $6,522.50 "," $6,783.40 ", 25% off , 25% off , 25% off , 25% off , 25% off , 25% off , 25% off , 25% off , 25% off , 25% off , 25% off 
D8090,comprehensive orthodontic treatment of the adult dentition," $4,278.40 "," $4,545.80 "," $4,813.20 "," $5,080.60 "," $5,348.00 "," $5,615.40 "," $5,882.80 "," $6,150.20 "," $6,417.60 "," $6,685.00 "," $6,952.40 ", 25% off , 25% off , 25% off , 25% off , 25% off , 25% off , 25% off , 25% off , 25% off , 25% off , 25% off 
D8660,pre-orthodontic treatment examination to monitor growth and development, $284.80 , $302.60 , $320.40 , $338.20 , $356.00 , $373.80 , $391.60 , $409.40 , $427.20 , $445.00 , $462.80 , $156.50 , $166.50 , $176.00 , $186.00 , $196.00 , $205.50 , $215.50 , $225.00 , $235.00 , $245.00 , $254.50 
D8680,"orthodontic retention (removal of appliances, construction and placement of retainer(s))", $380.00 , $403.75 , $427.50 , $451.25 , $475.00 , $498.75 , $522.50 , $546.25 , $570.00 , $593.75 , $617.50 , $209.00 , $222.00 , $235.00 , $248.00 , $261.50 , $274.50 , $287.50 , $300.50 , $313.50 , $326.50 , $339.50 
Unclassified Treatment,,,,,,,,,,,,,,,,,,,,,,,
D9110,Palliative (emergency) treatment of dental pain minor procedures, $104.00 , $110.50 , $117.00 , $123.50 , $130.00 , $136.50 , $143.00 , $149.50 , $156.00 , $162.50 , $169.00 , $57.00 , $61.00 , $64.50 , $68.00 , $71.50 , $75.00 , $78.50 , $82.00 , $86.00 , $89.50 , $93.00 
Anesthesia,,,,,,,,,,,,,,,,,,,,,,,
D9230,"inhalation of nitrous oxide/analgesia, anxiolysis", $63.20 , $67.15 , $71.10 , $75.05 , $79.00 , $82.95 , $86.90 , $90.85 , $94.80 , $98.75 , $102.70 , $35.00 , $37.00 , $39.00 , $41.50 , $43.50 , $45.50 , $48.00 , $50.00 , $52.00 , $54.50 , $56.50 
